2026-05-15 15:07:38 | src.domain_classifier | INFO | Embedding classification: companion (confidence: 1.000)
2026-05-15 15:07:38 | src.retriever | INFO | Retrieving top-4 chunks for: 'what should i do today...'
2026-05-15 15:07:39 | src.retriever | INFO | Domain filter 'companion': 4 matches
2026-05-15 15:07:39 | src.retriever | INFO | Retrieved 4 chunks
2026-05-15 15:07:39 | src.llm_engine | INFO | Generating response for: 'what should i do today'
2026-05-15 15:07:41 | src.llm_engine | INFO | Response generated (3626 chars)
2026-05-15 15:07:41 | src.rag_pipeline | INFO | Query processed — domain: companion, emergency: False, sources: ['companion.txt']
2026-05-15 15:07:41 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-15 15:09:55 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-15 15:10:01 | src.voice_handler | INFO | TTS completed (56 chars)
2026-05-15 15:10:19 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-15 15:10:29 | src.voice_handler | INFO | TTS completed (152 chars)
2026-05-15 15:11:08 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-16 00:23:01 | streamlit_app | WARNING | Failed to initialize MLflow: file://C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-16 00:23:01 | src.rag_pipeline | INFO | Initializing Senior Chatbot Pipeline...
2026-05-16 00:23:01 | src.rag_pipeline | INFO | Step 1/3: Loading embedding model...
2026-05-16 00:23:01 | src.embeddings | INFO | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-05-16 00:23:10 | src.embeddings | INFO | Embedding model loaded successfully
2026-05-16 00:23:10 | src.rag_pipeline | INFO | Step 2/3: Setting up vector store...
2026-05-16 00:23:10 | src.embeddings | INFO | Loading FAISS index from C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\vectorstore
2026-05-16 00:23:11 | src.embeddings | INFO | FAISS index loaded successfully
2026-05-16 00:23:11 | src.rag_pipeline | INFO | Step 3/3: Loading LLM...
2026-05-16 00:23:11 | src.llm_engine | INFO | Loading LLM via Groq: llama-3.1-8b-instant
2026-05-16 00:23:12 | src.llm_engine | INFO | LLM loaded successfully
2026-05-16 00:23:12 | src.rag_pipeline | INFO | Pipeline initialized successfully!
2026-05-16 00:23:54 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-16 00:26:58 | src.domain_classifier | INFO | Domain classified: emergency (confidence: 0.050)
2026-05-16 00:27:00 | src.domain_classifier | INFO | Embedding classification: entertainment (confidence: 0.667)
2026-05-16 00:27:00 | src.retriever | INFO | Retrieving top-4 chunks for: 'can you help me...'
2026-05-16 00:27:00 | src.retriever | INFO | Domain filter 'entertainment': 4 matches
2026-05-16 00:27:00 | src.retriever | INFO | Retrieved 4 chunks
2026-05-16 00:27:00 | src.llm_engine | INFO | Generating response for: 'can you help me'
2026-05-16 00:27:02 | src.llm_engine | INFO | Response generated (3577 chars)
2026-05-16 00:27:02 | src.rag_pipeline | INFO | Query processed — domain: entertainment, emergency: True, sources: ['entertainment.txt']
2026-05-16 00:27:02 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\senior citizen chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-16 00:27:22 | src.domain_classifier | INFO | No keyword match — defaulting to 'companion'
2026-05-16 00:27:22 | src.domain_classifier | INFO | Embedding classification: companion (confidence: 0.667)
2026-05-16 00:27:22 | src.retriever | INFO | Retrieving top-4 chunks for: 'what should i ciook today...'
2026-05-16 00:27:23 | src.retriever | INFO | Domain filter 'companion': 4 matches
2026-05-16 00:27:23 | src.retriever | INFO | Retrieved 4 chunks
2026-05-16 00:27:23 | src.llm_engine | INFO | Generating response for: 'what should i ciook today'
